Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,score,Quintile,MessageQuintileNat,start,end,today,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
-0.06643,-0.04693,-0.06352,-0.06831,-0.07341,0.10869,0.09127,-0.06691,0.04473,-0.03751,-0.04434,0.13231,0.05336,-0.03699999999999997,3,,2015-07-22T11:11:04.000-04:00,2015-07-22T11:11:16.000-04:00,2015-07-22,uuid:e6b5a7e2-7778-4a51-9f62-ce11ce228624,158110,e6b5a7e2-7778-4a51-9f62-ce11ce228624,2015-07-22T15:11:05,1,,-1,,
-0.06643,-0.04693,0.05008,-0.06831,0.04118,-0.03224,-0.03145,-0.06691,0.04473,0.07142,0.05939,-0.10452,0.05336,-0.09663000000000002,1,,2015-07-22T11:10:50.000-04:00,2015-07-22T11:11:04.000-04:00,2015-07-22,uuid:103c1869-8f93-4ff8-aed3-aa30a495e2b4,158109,103c1869-8f93-4ff8-aed3-aa30a495e2b4,2015-07-22T15:10:54,2,,-1,,
-0.06643,-0.04693,-0.06352,-0.06831,-0.07341,-0.03224,0.09127,-0.06691,-0.07296,-0.03751,0.05939,0.13231,0.05336,-0.19189,3,,2015-07-22T11:10:38.000-04:00,2015-07-22T11:10:50.000-04:00,2015-07-22,uuid:a1925bda-c270-4794-871a-5413a88c5e0e,158108,a1925bda-c270-4794-871a-5413a88c5e0e,2015-07-22T15:10:40,3,,-1,,
-0.06643,0.08479,-0.06352,-0.06831,0.04118,0.10869,-0.03145,0.03425,0.04473,0.07142,0.05939,0.13231,0.05336,0.40041,2,,2015-07-22T11:10:26.000-04:00,2015-07-22T11:10:38.000-04:00,2015-07-22,uuid:d1828b7a-6f6a-4c8a-901e-428d075c0749,158107,d1828b7a-6f6a-4c8a-901e-428d075c0749,2015-07-22T15:10:27,4,,-1,,
0.06127,0.08479,0.05008,-0.06831,-0.07341,0.10869,0.09127,0.03425,0.04473,0.07142,0.05939,-0.10452,-0.04403,0.31561999999999996,4,,2015-07-22T11:10:09.000-04:00,2015-07-22T11:10:26.000-04:00,2015-07-22,uuid:3857a559-6745-48b8-809b-0b28948f2535,158106,3857a559-6745-48b8-809b-0b28948f2535,2015-07-22T15:10:15,5,,-1,,
0.06127,0.08479,0.05008,-0.06831,-0.07341,0.10869,0.09127,0.03425,0.04473,0.07142,0.05939,-0.10452,-0.04403,0.31561999999999996,2,,2015-07-22T11:10:09.000-04:00,2015-07-22T11:10:26.000-04:00,2015-07-22,uuid:3857a559-6745-48b8-809b-0b28948f2535,158106,3857a559-6745-48b8-809b-0b28948f2535,2015-07-22T15:10:15,6,,-1,,
0.06127,0.08479,0.05008,-0.06831,-0.07341,0.10869,0.09127,0.03425,0.04473,0.07142,0.05939,-0.10452,-0.04403,0.31561999999999996,5,,2015-07-22T11:10:09.000-04:00,2015-07-22T11:10:26.000-04:00,2015-07-22,uuid:3857a559-6745-48b8-809b-0b28948f2535,158106,3857a559-6745-48b8-809b-0b28948f2535,2015-07-22T15:10:15,7,,-1,,
0.06127,0.08479,0.05008,-0.06831,-0.07341,0.10869,0.09127,0.03425,0.04473,0.07142,0.05939,-0.10452,-0.04403,0.31561999999999996,4,,2015-07-22T11:10:09.000-04:00,2015-07-22T11:10:26.000-04:00,2015-07-22,uuid:3857a559-6745-48b8-809b-0b28948f2535,158106,3857a559-6745-48b8-809b-0b28948f2535,2015-07-22T15:10:15,8,,-1,,
0.06127,0.08479,0.05008,-0.06831,-0.07341,0.10869,0.09127,0.03425,0.04473,0.07142,0.05939,-0.10452,-0.04403,0.31561999999999996,1,,2015-07-22T11:10:09.000-04:00,2015-07-22T11:10:26.000-04:00,2015-07-22,uuid:3857a559-6745-48b8-809b-0b28948f2535,158106,3857a559-6745-48b8-809b-0b28948f2535,2015-07-22T15:10:15,9,,-1,,
0.06127,0.08479,0.05008,-0.06831,-0.07341,0.10869,0.09127,0.03425,0.04473,0.07142,0.05939,-0.10452,-0.04403,0.31561999999999996,3,,2015-07-22T11:10:09.000-04:00,2015-07-22T11:10:26.000-04:00,2015-07-22,uuid:3857a559-6745-48b8-809b-0b28948f2535,158106,3857a559-6745-48b8-809b-0b28948f2535,2015-07-22T15:10:15,10,,-1,,
0.06127,0.08479,0.05008,-0.06831,-0.07341,0.10869,0.09127,0.03425,0.04473,0.07142,0.05939,-0.10452,-0.04403,0.31561999999999996,2,,2015-07-22T11:10:09.000-04:00,2015-07-22T11:10:26.000-04:00,2015-07-22,uuid:3857a559-6745-48b8-809b-0b28948f2535,158106,3857a559-6745-48b8-809b-0b28948f2535,2015-07-22T15:10:15,11,,-1,,
